year,passengers
1979,326264547
1980,310401357
1981,294851280
1982,309517088
1983,339343448
1984,368437759
1985,405562334
1986,442411811
1987,475822333
1988,483089503
1989,485308863
1990,499070998
1991,488666536
1992,514051065
1993,528920496
1994,573575959
1995,586326851
1996,621613161
1997,641563706
1998,656688855
1999,684163592
2000,710299349
2001,661069429
2002,644594329
2003,651728887
2004,706424048
2005,737186789
2006,739308556
2007,763513050
2008,736470443
2009,698003028
2010,713776556
2011,726007934
